COMPANION_SEQ,TRAVEL_ID,REL_CD,COMPANION_GENDER,COMPANION_AGE_GRP,COMPANION_SITUATION
2,f_f001354,7,2,4,3
4,f_f001354,7,2,4,3
1,f_f001392,1,1,4,1
3,f_f001392,3,2,7,1
2,f_f001392,3,1,7,1
4,f_f001392,5,2,4,1
1,f_f001523,7,1,5,1
1,f_f001533,8,1,3,1
1,f_f001543,7,2,3,1
3,f_f001543,7,2,3,1
2,f_f001543,7,2,3,1
1,f_f001546,7,2,3,1
2,f_f001546,7,2,4,1
1,f_f001569,8,1,4,1
1,f_f001575,3,2,6,1
1,f_f001621,1,1,5,1
3,f_f001621,2,2,1,1
2,f_f001621,2,1,1,1
1,f_f001624,8,1,3,3
2,f_f001641,2,1,1,1
1,f_f001641,1,1,5,1
1,f_f001644,8,1,3,1
1,f_f001646,1,1,5,1
2,f_f001646,2,1,1,1
4,f_f001650,6,2,5,1
1,f_f001650,1,2,5,1
3,f_f001650,2,1,1,1
2,f_f001650,2,2,2,1
1,f_f001668,1,2,6,3
1,f_f001689,1,1,4,1
1,f_f001701,1,1,5,1
2,f_f001701,2,1,1,1
3,f_f001708,2,2,1,1
2,f_f001708,2,2,2,1
1,f_f001708,1,1,5,1
1,f_f001722,1,2,4,1
1,f_f001742,1,2,5,1
3,f_f001742,2,2,1,1
2,f_f001742,2,1,1,1
1,f_f001769,8,1,4,1
1,f_f001783,8,1,5,1
1,f_f001788,8,1,3,1
1,f_f001808,7,2,3,1
3,f_f001808,7,2,3,1
2,f_f001808,7,2,3,1
2,f_f001833,2,1,2,1
1,f_f001833,1,2,5,1
3,f_f001833,2,1,2,1
1,f_f001834,3,1,6,1
3,f_f001834,5,1,2,1
2,f_f001834,5,1,3,1
3,f_f001836,4,2,8,1
2,f_f001836,5,2,4,1
1,f_f001836,3,2,6,1
2,f_f001837,2,2,1,1
4,f_f001837,11,2,4,3
6,f_f001837,11,2,1,3
1,f_f001837,1,2,4,1
3,f_f001837,7,1,4,3
5,f_f001837,11,2,1,3
2,f_f001863,3,2,6,1
1,f_f001863,1,1,4,1
2,f_f001871,2,1,1,1
1,f_f001871,1,2,5,1
3,f_f001871,2,1,1,1
1,f_f001873,7,2,4,1
2,f_f001876,2,1,2,1
1,f_f001876,1,1,5,1
3,f_f001876,2,1,2,1
1,f_f001884,1,1,4,1
2,f_f001888,2,2,1,1
1,f_f001888,1,2,4,1
2,f_f001893,3,2,7,1
1,f_f001893,3,1,7,1
1,f_f001900,8,1,3,1
1,f_f001903,1,1,5,1
3,f_f001903,7,2,4,1
5,f_f001903,7,2,4,3
2,f_f001903,7,1,4,1
4,f_f001903,7,1,5,3
1,f_f001904,1,1,6,1
2,f_f001904,2,2,2,1
1,f_f001907,3,2,5,1
1,f_f001909,1,1,5,1
2,f_f001915,2,1,3,3
1,f_f001915,1,2,6,1
1,f_f001920,8,2,3,1
1,f_f001928,1,1,4,1
2,f_f001929,2,2,1,1
1,f_f001929,1,1,4,1
2,f_f001931,2,1,3,1
1,f_f001931,1,2,6,1
3,f_f001931,2,1,3,1
1,f_f001943,1,1,5,1
1,f_f001953,2,1,2,1
2,f_f001964,2,1,1,1
1,f_f001964,1,2,5,1
3,f_f001964,2,1,2,1
2,f_f002001,2,2,1,1
4,f_f002001,3,1,7,1
1,f_f002001,1,1,4,1
3,f_f002001,3,2,7,1
1,f_f002018,2,1,1,1
1,f_f002052,7,2,5,1
1,f_f002081,1,2,4,3
2,f_f002081,2,1,1,3
1,f_f002085,1,1,4,1
1,f_f002092,7,2,4,1
1,f_f002106,8,1,4,1
1,f_f002113,1,1,5,1
1,f_f002124,1,1,4,1
1,f_f002125,1,2,6,1
2,f_f002125,2,2,2,1
2,f_f002532,7,1,5,3
4,f_f002532,7,2,5,3
1,f_f002532,7,1,5,1
3,f_f002532,7,2,5,3
1,f_f002562,1,2,6,1
3,f_f002562,7,2,6,1
2,f_f002562,7,1,6,1
1,f_f002679,8,1,5,1
1,f_f002706,8,2,3,1
1,f_f002717,1,1,4,1
3,f_f002717,3,1,7,3
2,f_f002717,2,2,1,1
4,f_f002717,3,2,7,3
1,f_f002741,3,2,6,1
2,f_f002741,5,1,2,1
2,f_f002780,2,1,1,1
1,f_f002780,1,2,4,1
6,f_f002812,9,2,2,3
1,f_f002812,1,2,5,1
3,f_f002812,9,1,6,3
5,f_f002812,9,1,2,3
2,f_f002812,2,1,1,1
4,f_f002812,9,2,5,3
1,f_f002829,8,2,4,1
2,f_f002837,3,1,7,2
1,f_f002837,3,1,7,2
2,f_f002852,2,1,2,1
1,f_f002852,1,2,5,1
3,f_f002852,2,2,1,1
1,f_f002875,1,1,4,1
1,f_f002887,9,1,4,1
1,f_f002910,7,2,4,3
2,f_f002910,7,2,4,3
1,f_f002915,7,2,4,1
1,f_f002932,1,2,6,1
2,f_f002932,2,2,4,1
1,f_f002947,8,1,3,1
1,f_f002955,8,2,4,1
1,f_f002976,3,1,8,1
3,f_f002976,5,2,5,1
2,f_f002976,3,2,8,1
4,f_f002976,5,1,5,1
1,f_f003191,7,1,7,1
3,f_f003191,7,1,7,1
5,f_f003191,7,1,7,1
7,f_f003191,7,2,6,1
2,f_f003191,7,1,7,1
4,f_f003191,7,1,7,1
6,f_f003191,7,2,7,1
1,f_f003204,1,2,5,1
3,f_f003204,2,2,1,1
2,f_f003204,2,2,1,1
1,f_f003205,8,1,5,1
2,f_f003206,2,2,5,1
1,f_f003206,2,2,4,1
1,f_f003213,7,2,3,1
2,f_f003214,7,2,4,1
1,f_f003214,7,2,4,1
1,f_f003219,1,1,4,1
2,f_f003219,2,1,1,1
2,f_f003220,2,1,1,1
1,f_f003220,1,1,4,1
1,f_f003243,1,1,7,1
2,f_f003253,2,2,4,1
